StudentNo,100263549,
System,{basic},
QueryNo,Rank,URL
2,7,https://portal.uea.ac.uk/academic-calendar/semester-dates
2,8,https://portal.uea.ac.uk/student-support-service/wellbeing/disability/dyslexia-dyspraxia-and-ad-h-d/other-information
2,9,https://portal.uea.ac.uk/learning-and-teaching/hubs
2,10,https://portal.uea.ac.uk/learning-and-teaching/programme-specifications
3,1,http://portal.uea.ac.uk
3,2,https://portal.uea.ac.uk/arm/alumni-conferences-and-events/conferences
3,3,https://portal.uea.ac.uk/estates/security
3,4,https://portal.uea.ac.uk/estates/grounds
3,5,https://portal.uea.ac.uk/arm/campus-news/campus-community/reward-gateway
3,6,https://portal.uea.ac.uk/student-support-service/wellbeing/disability/dyslexia-dyspraxia-and-ad-h-d
3,7,https://portal.uea.ac.uk/academic-calendar/semester-dates
3,8,https://portal.uea.ac.uk/student-support-service/wellbeing/disability/dyslexia-dyspraxia-and-ad-h-d/other-information
3,9,https://portal.uea.ac.uk/learning-and-teaching/hubs
3,10,https://portal.uea.ac.uk/learning-and-teaching/programme-specifications
4,1,http://portal.uea.ac.uk
4,2,https://portal.uea.ac.uk/arm/alumni-conferences-and-events/conferences
4,3,https://portal.uea.ac.uk/estates/security
4,4,https://portal.uea.ac.uk/estates/grounds
4,5,https://portal.uea.ac.uk/arm/campus-news/campus-community/reward-gateway
4,6,https://portal.uea.ac.uk/student-support-service/wellbeing/disability/dyslexia-dyspraxia-and-ad-h-d
4,7,https://portal.uea.ac.uk/academic-calendar/semester-dates
4,8,https://portal.uea.ac.uk/student-support-service/wellbeing/disability/dyslexia-dyspraxia-and-ad-h-d/other-information
4,9,https://portal.uea.ac.uk/learning-and-teaching/hubs
4,10,https://portal.uea.ac.uk/learning-and-teaching/programme-specifications
5,1,https://portal.uea.ac.uk/estates/grounds
5,2,https://portal.uea.ac.uk/committee-office/uea-committees-and-boards/council
5,3,https://portal.uea.ac.uk/arm/campus-news/staff/vc-message/-/asset_publisher/4CCAyb1MD9St/content/vice-chancellor-s-april-message-to-staff
5,4,https://portal.uea.ac.uk/learning-and-teaching/staff/teaching/innovation
5,5,https://portal.uea.ac.uk/people/profile/list/all/ww/10
5,6,https://portal.uea.ac.uk/web/about/media-room/uea-gigs/story-archive
5,7,https://portal.uea.ac.uk/faculty-school-intranets/faculty-of-social-sciences/key-staff-and-offices
5,8,https://portal.uea.ac.uk/learning-and-teaching/staff/new-staff/academic-roles
5,9,https://portal.uea.ac.uk/arm/marketing/meet-the-team
5,10,https://portal.uea.ac.uk/people/profile/list/all/tt/10
6,1,https://portal.uea.ac.uk/estates/security
6,2,https://portal.uea.ac.uk/estates/grounds
6,3,https://portal.uea.ac.uk/learning-and-teaching/hubs
6,4,https://portal.uea.ac.uk/student-support-service
6,5,http://portal.uea.ac.uk/dos/learning-enhancement
6,6,https://portal.uea.ac.uk/student-support-service/wellbeing/disability/dyslexia-dyspraxia-and-ad-h-d/exam-concessions
6,7,https://portal.uea.ac.uk/learning-and-teaching/hubs/zicer-hub
6,8,https://portal.uea.ac.uk/estates/cleaning
6,9,https://portal.uea.ac.uk/student-support-service/wellbeing
6,10,https://portal.uea.ac.uk/planningoffice/biu
7,1,
7,2,
7,3,
7,4,
7,5,
7,6,
7,7,
7,8,
7,9,
7,10,
8,1,http://portal.uea.ac.uk
8,2,https://portal.uea.ac.uk/arm/alumni-conferences-and-events/conferences
8,3,https://portal.uea.ac.uk/home
8,4,https://portal.uea.ac.uk/estates/travel-and-transport/public-transport/park-and-ride
8,5,https://portal.uea.ac.uk/learning-and-teaching/students/the-basics/useful-links
8,6,https://portal.uea.ac.uk/estates/events-and-activities
8,7,https://portal.uea.ac.uk/student-support-service/wellbeing/disability/whilst-you-are-here
8,8,https://portal.uea.ac.uk/estates/travel-and-transport/by-car
8,9,https://portal.uea.ac.uk/student-support-service/wellbeing/disability/examination-arrangements
8,10,https://portal.uea.ac.uk/accommodation/living-in-residences/what-to-pack
9,1,https://portal.uea.ac.uk/arm/alumni-conferences-and-events/conferences
9,2,https://portal.uea.ac.uk/estates/security
9,3,https://portal.uea.ac.uk/estates/grounds
9,4,https://portal.uea.ac.uk/learning-and-teaching/hubs
9,5,https://portal.uea.ac.uk/student-support-service
9,6,https://portal.uea.ac.uk/learning-and-teaching/jargon-buster
9,7,https://portal.uea.ac.uk/uss/intranet/safety-subjects/accident
9,8,https://portal.uea.ac.uk/estates/access-and-security/staff-access
